url,uri,name,tracks
https://open.spotify.com/playlist/37i9dQZF1DX1lVhptIYRda,spotify:playlist:37i9dQZF1DX1lVhptIYRda,Hot Country,50
https://open.spotify.com/playlist/37i9dQZF1DWW7RgkOJG32Y,spotify:playlist:37i9dQZF1DWW7RgkOJG32Y,Breakout Country,80
https://open.spotify.com/playlist/37i9dQZF1DWUgBy0IJPlHq,spotify:playlist:37i9dQZF1DWUgBy0IJPlHq,Indigo,100
https://open.spotify.com/playlist/37i9dQZF1DX0bUGQdz5BJG,spotify:playlist:37i9dQZF1DX0bUGQdz5BJG,Next From Nashville,122
https://open.spotify.com/playlist/37i9dQZF1DWTkxQvqMy4WW,spotify:playlist:37i9dQZF1DWTkxQvqMy4WW,Chillin' on a Dirt Road,80
https://open.spotify.com/playlist/37i9dQZF1DWVpjAJGB70vU,spotify:playlist:37i9dQZF1DWVpjAJGB70vU,90's Country,60
https://open.spotify.com/playlist/37i9dQZF1DXdxUH6sNtcDe,spotify:playlist:37i9dQZF1DXdxUH6sNtcDe,2000s Country,153
https://open.spotify.com/playlist/37i9dQZF1DXbIbVYph0Zr5,spotify:playlist:37i9dQZF1DXbIbVYph0Zr5,Country Cookout,93
https://open.spotify.com/playlist/37i9dQZF1DWXdiK4WAVRUW,spotify:playlist:37i9dQZF1DWXdiK4WAVRUW,2010s Country,179
https://open.spotify.com/playlist/37i9dQZF1DWYnwbYQ5HnZU,spotify:playlist:37i9dQZF1DWYnwbYQ5HnZU,Country Gold,64
https://open.spotify.com/playlist/37i9dQZF1DXcSzYlwgjiSi,spotify:playlist:37i9dQZF1DXcSzYlwgjiSi,Party Cove,83
https://open.spotify.com/playlist/37i9dQZF1DX7aUUBCKwo4Y,spotify:playlist:37i9dQZF1DX7aUUBCKwo4Y,Nashville's Worldwide Hot 50,50
https://open.spotify.com/playlist/37i9dQZF1DX8S0uQvJ4gaa,spotify:playlist:37i9dQZF1DX8S0uQvJ4gaa,New Boots,80
https://open.spotify.com/playlist/37i9dQZF1DXaJXCbmtHVHV,spotify:playlist:37i9dQZF1DXaJXCbmtHVHV,Big Country,50
https://open.spotify.com/playlist/37i9dQZF1DX8WMG8VPSOJC,spotify:playlist:37i9dQZF1DX8WMG8VPSOJC,Country Kind of Love,75
https://open.spotify.com/playlist/37i9dQZF1DX6rVyqO2FaN8,spotify:playlist:37i9dQZF1DX6rVyqO2FaN8,Still Hot,58
https://open.spotify.com/playlist/37i9dQZF1DX1KHLbhJkg7B,spotify:playlist:37i9dQZF1DX1KHLbhJkg7B,Country Covers,100
https://open.spotify.com/playlist/37i9dQZF1DX6RCydf9ytsj,spotify:playlist:37i9dQZF1DX6RCydf9ytsj,Country's Greatest Hits:  The '80s,163
https://open.spotify.com/playlist/37i9dQZF1DX05oRSrPGj3d,spotify:playlist:37i9dQZF1DX05oRSrPGj3d,Heart Of Texas,52
https://open.spotify.com/playlist/37i9dQZF1DXdgnLr18vPvu,spotify:playlist:37i9dQZF1DXdgnLr18vPvu,Tailgate Party,83
https://open.spotify.com/playlist/37i9dQZF1DWZBCPUIUs2iR,spotify:playlist:37i9dQZF1DWZBCPUIUs2iR,Country Rocks,99
https://open.spotify.com/playlist/37i9dQZF1DWWH0izG4erma,spotify:playlist:37i9dQZF1DWWH0izG4erma,Country's Greatest Hits,76
https://open.spotify.com/playlist/37i9dQZF1DX13kFuGnInkY,spotify:playlist:37i9dQZF1DX13kFuGnInkY,ACM Awards 2021,102
https://open.spotify.com/playlist/37i9dQZF1DWXepGEFFmQXJ,spotify:playlist:37i9dQZF1DWXepGEFFmQXJ,Fresh Country,60
https://open.spotify.com/playlist/37i9dQZF1DWYiR2Uqcon0X,spotify:playlist:37i9dQZF1DWYiR2Uqcon0X,Country Coffeehouse,82
https://open.spotify.com/playlist/37i9dQZF1DX7M1twJ8D6TS,spotify:playlist:37i9dQZF1DX7M1twJ8D6TS,Texas Music Rewind,79
https://open.spotify.com/playlist/37i9dQZF1DX49poIUZYXp7,spotify:playlist:37i9dQZF1DX49poIUZYXp7,Women of Country,134
https://open.spotify.com/playlist/37i9dQZF1DX3Ee0ngF5ZVQ,spotify:playlist:37i9dQZF1DX3Ee0ngF5ZVQ,Texas Music Now,81
https://open.spotify.com/playlist/37i9dQZF1DXbDjX0hus3Iu,spotify:playlist:37i9dQZF1DXbDjX0hus3Iu,Southern Rock 101,106
https://open.spotify.com/playlist/37i9dQZF1DX9hWdQ46pHPo,spotify:playlist:37i9dQZF1DX9hWdQ46pHPo,Forever Country,78
https://open.spotify.com/playlist/37i9dQZF1DX7CGYgLhqwu5,spotify:playlist:37i9dQZF1DX7CGYgLhqwu5,60s Country,102
https://open.spotify.com/playlist/37i9dQZF1DWYvU2z6HruAo,spotify:playlist:37i9dQZF1DWYvU2z6HruAo,Hot Country Presents:  Best Country Songs of 2020,62
https://open.spotify.com/playlist/37i9dQZF1DX4bf0P6HTTom,spotify:playlist:37i9dQZF1DX4bf0P6HTTom,Country Rock Classics,49
https://open.spotify.com/playlist/37i9dQZF1DWU2LcZVHsTdv,spotify:playlist:37i9dQZF1DWU2LcZVHsTdv,Country by the Grace of God,85
https://open.spotify.com/playlist/37i9dQZF1DX5mB2C8gBeUM,spotify:playlist:37i9dQZF1DX5mB2C8gBeUM,Wild Country,109
https://open.spotify.com/playlist/37i9dQZF1DWTQrwBpetTXv,spotify:playlist:37i9dQZF1DWTQrwBpetTXv,#SpotifyTBT: Women of Country,70
