,name,playlist_tracks,uri,url
0,¡Viva Latino!,50,spotify:playlist:37i9dQZF1DX10zKzsJ2jva,https://open.spotify.com/playlist/37i9dQZF1DX10zKzsJ2jva
1,Baila Reggaeton,50,spotify:playlist:37i9dQZF1DWY7IeIP1cdjF,https://open.spotify.com/playlist/37i9dQZF1DWY7IeIP1cdjF
2,New Music Friday Latin,65,spotify:playlist:37i9dQZF1DX1hVRardJ30X,https://open.spotify.com/playlist/37i9dQZF1DX1hVRardJ30X
3,Urbano Rising,55,spotify:playlist:37i9dQZF1DX4OjfOteYnH8,https://open.spotify.com/playlist/37i9dQZF1DX4OjfOteYnH8
4,Are & Be Latin,85,spotify:playlist:37i9dQZF1DX2MJVTOdWtbm,https://open.spotify.com/playlist/37i9dQZF1DX2MJVTOdWtbm
5,Future Hits: Latin,50,spotify:playlist:37i9dQZF1DWZoF06RIo9el,https://open.spotify.com/playlist/37i9dQZF1DWZoF06RIo9el
6,Afro Ritmo,54,spotify:playlist:37i9dQZF1DWYzQ2Vx5M6uV,https://open.spotify.com/playlist/37i9dQZF1DWYzQ2Vx5M6uV
7,Inspiring Latinas,75,spotify:playlist:37i9dQZF1DX5AVYhCeISA6,https://open.spotify.com/playlist/37i9dQZF1DX5AVYhCeISA6
8,Radar US Latin,30,spotify:playlist:37i9dQZF1DXbSwbJpH6lAw,https://open.spotify.com/playlist/37i9dQZF1DXbSwbJpH6lAw
9,Fresh Finds: Latin,50,spotify:playlist:37i9dQZF1DXagUeYbNSnOA,https://open.spotify.com/playlist/37i9dQZF1DXagUeYbNSnOA
10,Mexican Party Anthems,90,spotify:playlist:37i9dQZF1DXbdrcAZnP3Cy,https://open.spotify.com/playlist/37i9dQZF1DXbdrcAZnP3Cy
11,Latin Pop Hits,50,spotify:playlist:37i9dQZF1DX1QnNyJOBQBv,https://open.spotify.com/playlist/37i9dQZF1DX1QnNyJOBQBv
12,Éxitos USA,50,spotify:playlist:37i9dQZF1DX4oUPBOaEkL6,https://open.spotify.com/playlist/37i9dQZF1DX4oUPBOaEkL6
13,Now & Then Reggaeton,90,spotify:playlist:37i9dQZF1DX1ziQH0F90kL,https://open.spotify.com/playlist/37i9dQZF1DX1ziQH0F90kL
14,mint Latin,58,spotify:playlist:37i9dQZF1DX07RJCJCOYpi,https://open.spotify.com/playlist/37i9dQZF1DX07RJCJCOYpi
15,Ultimate LatinX Indie,100,spotify:playlist:37i9dQZF1DX4V5eXk4NKqu,https://open.spotify.com/playlist/37i9dQZF1DX4V5eXk4NKqu
16,Salsa Nation,150,spotify:playlist:37i9dQZF1DX4qKWGR9z0LI,https://open.spotify.com/playlist/37i9dQZF1DX4qKWGR9z0LI
17,Grandes Voces,50,spotify:playlist:37i9dQZF1DXbgLhPxSBEKX,https://open.spotify.com/playlist/37i9dQZF1DXbgLhPxSBEKX
18,Hits Románticos,250,spotify:playlist:37i9dQZF1DX7Qo2zphj7u3,https://open.spotify.com/playlist/37i9dQZF1DX7Qo2zphj7u3
19,Country Latino,49,spotify:playlist:37i9dQZF1DX5U9LWxuimGj,https://open.spotify.com/playlist/37i9dQZF1DX5U9LWxuimGj
20,Latin Pride,82,spotify:playlist:37i9dQZF1DX2lenzaqw2vs,https://open.spotify.com/playlist/37i9dQZF1DX2lenzaqw2vs
21,Spotify Singles: Latino,26,spotify:playlist:37i9dQZF1DWSDautEwAKZB,https://open.spotify.com/playlist/37i9dQZF1DWSDautEwAKZB
22,Super Cumbias,50,spotify:playlist:37i9dQZF1DXbUMEWUyV9JB,https://open.spotify.com/playlist/37i9dQZF1DXbUMEWUyV9JB
23,Latin Hit Mix,100,spotify:playlist:37i9dQZF1DXbLMw3ry7d7k,https://open.spotify.com/playlist/37i9dQZF1DXbLMw3ry7d7k
24,Fuego,55,spotify:playlist:37i9dQZF1DX8sljIJzI0oo,https://open.spotify.com/playlist/37i9dQZF1DX8sljIJzI0oo
25,Reggaeton Classics,100,spotify:playlist:37i9dQZF1DX8SfyqmSFDwe,https://open.spotify.com/playlist/37i9dQZF1DX8SfyqmSFDwe
26,Puro Perreo,100,spotify:playlist:37i9dQZF1DWX5ZOsG2Ogi1,https://open.spotify.com/playlist/37i9dQZF1DWX5ZOsG2Ogi1
27,Bachata Classics,50,spotify:playlist:37i9dQZF1DX65py6HnnlE1,https://open.spotify.com/playlist/37i9dQZF1DX65py6HnnlE1
28,Cumbia Sonidera,50,spotify:playlist:37i9dQZF1DWTmGGCbcoQhY,https://open.spotify.com/playlist/37i9dQZF1DWTmGGCbcoQhY
29,Fiesta,106,spotify:playlist:37i9dQZF1DX9vJ2U3sN7xj,https://open.spotify.com/playlist/37i9dQZF1DX9vJ2U3sN7xj
30,internet crush,75,spotify:playlist:37i9dQZF1DX2lVtkHKv2NU,https://open.spotify.com/playlist/37i9dQZF1DX2lVtkHKv2NU
31,Rock en Español,60,spotify:playlist:37i9dQZF1DWYN0zdqzbEwl,https://open.spotify.com/playlist/37i9dQZF1DWYN0zdqzbEwl
32,Salsa Classics,90,spotify:playlist:37i9dQZF1DX7SeoIaFyTmA,https://open.spotify.com/playlist/37i9dQZF1DX7SeoIaFyTmA
33,Latin Pop Classics,100,spotify:playlist:37i9dQZF1DX6ThddIjWuGT,https://open.spotify.com/playlist/37i9dQZF1DX6ThddIjWuGT
34,Latin Party Anthems,125,spotify:playlist:37i9dQZF1DWVcbzTgVpNRm,https://open.spotify.com/playlist/37i9dQZF1DWVcbzTgVpNRm
35,Perrear y Llorar,86,spotify:playlist:37i9dQZF1DWXYWuNDAdJsw,https://open.spotify.com/playlist/37i9dQZF1DWXYWuNDAdJsw
36,100% Cumbia,50,spotify:playlist:37i9dQZF1DX8yLfjPY8emY,https://open.spotify.com/playlist/37i9dQZF1DX8yLfjPY8emY
37,Remixes Urbanos,74,spotify:playlist:37i9dQZF1DWXbMxJaAyCq1,https://open.spotify.com/playlist/37i9dQZF1DWXbMxJaAyCq1
